ID_REF	VALUE
1007_s_at	12.01603267
1053_at	10.69263552
117_at	2.014942594
121_at	2.210161153
1255_g_at	2.014942594
1294_at	2.014942594
1316_at	5.62315025
1320_at	2.040441039
1405_i_at	2.014942594
1431_at	2.182883736
1438_at	2.014942594
1487_at	10.79840397
1494_f_at	2.014942594
1598_g_at	2.646118317
160020_at	2.014942594
1729_at	7.409728567
177_at	2.472527008
1773_at	2.014942594
179_at	2.014942594
1861_at	7.300123503
200000_s_at	11.9447279
200001_at	12.98782795
200002_at	14.70034232
200003_s_at	14.70244151
200004_at	14.30962055
200005_at	13.92323452
200006_at	14.52925164
200007_at	14.65691982
200008_s_at	12.29841507
200009_at	15.00183668
200010_at	14.61684747
200011_s_at	12.92182704
200012_x_at	15.37632511
200013_at	15.14893558
200014_s_at	14.08516908
200015_s_at	13.43204692
200016_x_at	15.33312473
200017_at	14.96866946
200018_at	15.2245247
200019_s_at	14.49911344
200020_at	14.03493776
200021_at	14.74503596
200022_at	15.00706394
200023_s_at	14.68906336
200024_at	14.99713628
200025_s_at	15.34917221
200026_at	15.31919836
200027_at	13.90773165
200028_s_at	14.5111756
200029_at	15.56525161
200030_s_at	14.86367538
200031_s_at	15.76763188
200032_s_at	15.50497665
200033_at	14.55162713
200034_s_at	15.3601933
200035_at	11.23442535
200036_s_at	14.86747939
200037_s_at	13.93263408
200038_s_at	15.73085461
200039_s_at	13.42680201
200040_at	14.16962022
200041_s_at	14.82042156
200042_at	12.62044054
200043_at	13.82910721
200044_at	14.49533598
200045_at	11.52275374
200046_at	13.37122618
200047_s_at	13.3506711
200048_s_at	13.47843873
200049_at	11.51525533
200050_at	12.67196271
200051_at	10.50930348
200052_s_at	13.41638604
200053_at	10.37729818
200054_at	9.944564249
200055_at	12.81620975
200056_s_at	10.89260312
200057_s_at	14.71487802
200058_s_at	12.66944063
200059_s_at	13.70008275
200060_s_at	13.40609057
200061_s_at	15.30246256
200062_s_at	15.60295658
200063_s_at	15.18147556
200064_at	14.77287817
200065_s_at	14.20411836
200066_at	13.72509126
200067_x_at	12.50419452
200068_s_at	14.77025988
200069_at	9.795868348
200070_at	10.36453215
200071_at	13.12958418
200072_s_at	13.48775798
200073_s_at	13.98039591
200074_s_at	15.16284902
200075_s_at	12.3784364
200076_s_at	10.93354121
200077_s_at	14.93145303
200078_s_at	11.92735775
200079_s_at	13.15181225
200080_s_at	14.97340559
200081_s_at	15.34310237
200082_s_at	14.3018489
200083_at	13.68442208
200084_at	12.48545277
200085_s_at	13.45952971
200086_s_at	14.04271459
200087_s_at	14.59392007
200088_x_at	15.08877995
200089_s_at	15.67804028
200090_at	13.17463746
200091_s_at	15.00614204
200092_s_at	15.74394734
200093_s_at	14.530661
200094_s_at	15.40265311
200095_x_at	15.723974
200096_s_at	13.37045646
200097_s_at	14.31871685
200098_s_at	13.49797038
200099_s_at	15.72241552
200593_s_at	13.56034604
200594_x_at	14.59240984
200595_s_at	14.16849738
200596_s_at	12.15020456
200597_at	11.51869656
200598_s_at	14.01224962
200599_s_at	14.66255608
200600_at	11.20397643
200601_at	10.84468753
200602_at	13.2708152
200603_at	12.75123836
200604_s_at	11.25858324
200605_s_at	12.53278477
200606_at	12.45216564
200607_s_at	10.83092674
200608_s_at	13.15059724
200609_s_at	11.53015095
200610_s_at	13.88893671
200611_s_at	11.02121259
200612_s_at	11.54097754
200613_at	11.46311814
200614_at	14.6107934
200615_s_at	10.68252274
200616_s_at	11.84267466
200617_at	12.97536803
200618_at	11.94351273
200619_at	13.21052546
200620_at	14.06308284
200621_at	13.01021292
200622_x_at	12.20729217
200623_s_at	13.97407029
200624_s_at	13.28376084
200625_s_at	13.38664509
200626_s_at	13.91909708
200627_at	14.7941099
200628_s_at	10.0389566
200629_at	11.90498292
200630_x_at	13.4411996
200631_s_at	13.98007613
200632_s_at	12.04903631
200633_at	15.08510213
200634_at	14.36283718
200635_s_at	13.02548142
200636_s_at	13.04546003
200637_s_at	8.171066018
200638_s_at	13.73050693
200639_s_at	14.1008358
200640_at	14.20758407
200641_s_at	11.5937653
200642_at	14.68408286
200643_at	12.30534093
200644_at	13.57027104
200645_at	14.30872529
200646_s_at	4.117593744
200647_x_at	12.11019427
200648_s_at	9.506025643
200649_at	9.246660144
200650_s_at	14.82045351
200651_at	15.1589168
200652_at	13.93109456
200653_s_at	13.82657387
200654_at	14.05471035
200655_s_at	14.17402476
200656_s_at	12.22698358
200657_at	14.99876459
200658_s_at	12.79926301
200659_s_at	11.41789685
200660_at	11.9653327
200661_at	10.30682346
200662_s_at	14.5529048
200663_at	14.04138731
200664_s_at	10.71937302
200665_s_at	2.235129963
200666_s_at	12.73750626
200667_at	13.71343287
200668_s_at	14.04301312
200669_s_at	13.08776469
200670_at	12.18526606
200671_s_at	2.014942594
200672_x_at	2.014942594
200673_at	14.28284195
200674_s_at	15.90653576
200675_at	12.80296186
200676_s_at	5.215995078
200677_at	12.78343942
200678_x_at	8.010135368
200679_x_at	14.31684993
200680_x_at	14.56769219
200681_at	14.15684186
200682_s_at	13.77430291
200683_s_at	11.5386221
200684_s_at	11.1865497
200685_at	10.69815655
200686_s_at	12.55954405
200687_s_at	11.7742509
200688_at	7.972490011
200689_x_at	15.16034087
200690_at	11.29101915
200691_s_at	13.85769196
200692_s_at	13.71890733
200693_at	13.65271606
200694_s_at	12.87572466
200695_at	12.07224168
200696_s_at	2.123863669
200697_at	10.62079528
200698_at	13.98337753
200699_at	13.38725415
200700_s_at	12.55091787
200701_at	12.9764535
200702_s_at	11.61629696
200703_at	14.02503482
200704_at	13.93257162
200705_s_at	15.43441874
200706_s_at	10.86901922
200707_at	11.95529268
200708_at	13.93403791
200709_at	14.27199648
200710_at	12.64593072
200711_s_at	13.10663009
200712_s_at	10.57127333
200713_s_at	13.33074811
200714_x_at	12.06291821
200715_x_at	15.26061764
200716_x_at	15.58717807
200717_x_at	15.48369069
200718_s_at	14.18729599
200719_at	11.24950698
200720_s_at	9.181134852
200721_s_at	14.09767938
