From	To	Species	Gene Name
216883_x_at	PDE6D	Homo sapiens	phosphodiesterase 6D, cGMP-specific, rod, delta
204995_at	Cdk5r1	Homo sapiens	cyclin-dependent kinase 5, regulatory subunit 1 (p35)
209575_at	Il10rb	Homo sapiens	interleukin 10 receptor, beta
221356_x_at	P2RX2	Homo sapiens	purinergic receptor P2X, ligand-gated ion channel, 2
220950_s_at	KIAA1310	Homo sapiens	KIAA1310
215488_at	BEST1	Homo sapiens	bestrophin 1
202259_s_at	N4BP2L2	Homo sapiens	NEDD4 binding protein 2-like 2
211113_s_at	ABCG1	Homo sapiens	ATP-binding cassette, sub-family G (WHITE), member 1
219944_at	CLIP4	Homo sapiens	CAP-GLY domain containing linker protein family, member 4
222347_at	LOC644450	Homo sapiens	hypothetical protein LOC644450
217489_s_at	il6r	Homo sapiens	interleukin 6 receptor
203248_at	ZNF24	Homo sapiens	zinc finger protein 24
217018_at	pdss2	Homo sapiens	prenyl (decaprenyl) diphosphate synthase, subunit 2
217115_at	LOC100240726	Homo sapiens	makorin ring finger protein 1 pseudogene
221358_at	NPBWR2	Homo sapiens	neuropeptides B/W receptor 2
219073_s_at	OSBPL10	Homo sapiens	oxysterol binding protein-like 10
220483_s_at	RNF19A	Homo sapiens	ring finger protein 19A
205116_at	Lama2	Homo sapiens	laminin, alpha 2
201378_s_at	Ubap2l	Homo sapiens	ubiquitin associated protein 2-like
213872_at	C6orf62	Homo sapiens	chromosome 6 open reading frame 62
218151_x_at	GPR172A	Homo sapiens	G protein-coupled receptor 172A
211962_s_at	zfp36l1	Homo sapiens	zinc finger protein 36, C3H type-like 1
205095_s_at	ATP6V0A1	Homo sapiens	ATPase, H+ transporting, lysosomal V0 subunit a1
210563_x_at	CFLAR	Homo sapiens	CASP8 and FADD-like apoptosis regulator
222139_at	KIAA1466	Homo sapiens	KIAA1466 gene
201793_x_at	SMG7	Homo sapiens	Smg-7 homolog, nonsense mediated mRNA decay factor (C. elegans)
202180_s_at	MVP	Homo sapiens	major vault protein
218569_s_at	KBTBD4	Homo sapiens	kelch repeat and BTB (POZ) domain containing 4
202592_at	bloc1s1	Homo sapiens	biogenesis of lysosomal organelles complex-1, subunit 1
214902_x_at	FLJ42393	Homo sapiens	hypothetical LOC401105
203210_s_at	RFC5	Homo sapiens	replication factor C (activator 1) 5, 36.5kDa
205193_at	Maff	Homo sapiens	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)
37831_at	Sipa1l3	Homo sapiens	signal-induced proliferation-associated 1 like 3
204487_s_at	KCNQ1	Homo sapiens	potassium voltage-gated channel, KQT-like subfamily, member 1
218798_at	KRI1	Homo sapiens	KRI1 homolog (S. cerevisiae)
202454_s_at	Erbb3	Homo sapiens	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)
41660_at	celsr1	Homo sapiens	cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila)
210409_at	C6orf124	Homo sapiens	chromosome 6 open reading frame 124
222319_at	nap1l4	Homo sapiens	nucleosome assembly protein 1-like 4
205310_at	Fbxo46	Homo sapiens	F-box protein 46
216925_s_at	tal1	Homo sapiens	T-cell acute lymphocytic leukemia 1
210835_s_at	CTBP2	Homo sapiens	C-terminal binding protein 2
215759_at	ANKRD53	Homo sapiens	ankyrin repeat domain 53
221533_at	Fam162a	Homo sapiens	family with sequence similarity 162, member A
220145_at	MAP9	Homo sapiens	microtubule-associated protein 9
37433_at	PIAS2	Homo sapiens	protein inhibitor of activated STAT, 2
221107_at	CHRNA9	Homo sapiens	cholinergic receptor, nicotinic, alpha 9
219850_s_at	Ehf	Homo sapiens	ets homologous factor
207563_s_at	Ogt	Homo sapiens	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)
202270_at	GBP1	Homo sapiens	guanylate binding protein 1, interferon-inducible, 67kDa
218019_s_at	pdxK	Homo sapiens	pyridoxal (pyridoxine, vitamin B6) kinase
212455_at	YTHDC1	Homo sapiens	YTH domain containing 1
222285_at	IGHD	Homo sapiens	immunoglobulin heavy constant delta
209211_at	Klf5	Homo sapiens	Kruppel-like factor 5 (intestinal)
209816_at	ptch1	Homo sapiens	patched homolog 1 (Drosophila)
215766_at	gsta1	Homo sapiens	glutathione S-transferase alpha 1
214465_at	ORM1	Homo sapiens	orosomucoid 1
213650_at	GOLGA8B	Homo sapiens	golgi autoantigen, golgin subfamily a, 8B; golgi autoantigen, golgin subfamily a, 8A
213650_at	GOLGA8A	Homo sapiens	golgi autoantigen, golgin subfamily a, 8B; golgi autoantigen, golgin subfamily a, 8A
211301_at	Kcnd3	Homo sapiens	potassium voltage-gated channel, Shal-related subfamily, member 3
219471_at	C13orf18	Homo sapiens	similar to protein phosphatase 1, regulatory subunit 2; protein phosphatase 1, regulatory (inhibitor) subunit 2 pseudogene 4; chromosome 13 open reading frame 18
219471_at	PPP1R2P4	Homo sapiens	similar to protein phosphatase 1, regulatory subunit 2; protein phosphatase 1, regulatory (inhibitor) subunit 2 pseudogene 4; chromosome 13 open reading frame 18
219471_at	LOC100128626	Homo sapiens	similar to protein phosphatase 1, regulatory subunit 2; protein phosphatase 1, regulatory (inhibitor) subunit 2 pseudogene 4; chromosome 13 open reading frame 18
218316_at	TIMM9	Homo sapiens	translocase of inner mitochondrial membrane 9 homolog (yeast)
207055_at	gpr37l1	Homo sapiens	G protein-coupled receptor 37 like 1
201135_at	Echs1	Homo sapiens	enoyl Coenzyme A hydratase, short chain, 1, mitochondrial
202256_at	CD2BP2	Homo sapiens	CD2 (cytoplasmic tail) binding protein 2
202497_x_at	SLC2A3	Homo sapiens	solute carrier family 2 (facilitated glucose transporter), member 3
220090_at	CRNN	Homo sapiens	cornulin
207791_s_at	RAB1A	Homo sapiens	RAB1A, member RAS oncogene family
210909_x_at	LPAL2	Homo sapiens	lipoprotein, Lp(a)-like 2
205960_at	PDK4	Homo sapiens	pyruvate dehydrogenase kinase, isozyme 4
209402_s_at	Slc12a4	Homo sapiens	solute carrier family 12 (potassium/chloride transporters), member 4
216436_at	PIK3R4	Homo sapiens	phosphoinositide-3-kinase, regulatory subunit 4
203789_s_at	SEMA3C	Homo sapiens	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C
202015_x_at	metap2	Homo sapiens	methionyl aminopeptidase 2
220578_at	ADAMTSL4	Homo sapiens	ADAMTS-like 4
204743_at	TAGLN3	Homo sapiens	transgelin 3
213356_x_at	LOC100128836	Homo sapiens	similar to heterogeneous nuclear ribonucleoprotein A1
