Reporter Identifier	VALUE
GE_BrightCorner	0.31136036
DarkCorner	-0.011547089
A_23_P326296	0.72710323
A_24_P287941	-0.0647316
A_24_P325046	-0.46262217
A_23_P200404	0.12136078
A_19_P00800513	0.6081848
A_23_P15619	-0.15556955
A_33_P3402354	-0.9645014
A_33_P3338798	-0.12137222
A_32_P98683	0
A_23_P137543	0
A_19_P00803040	0.36215496
A_23_P117852	0.30934525
A_33_P3285585	-0.20975447
A_24_P328231	0
A_33_P3415668	-0.17391968
A_23_P73609	0.42524147
A_24_P186124	-0.079564095
A_23_P369983	0.6327963
ERCC-00071_128	0.62843084
ERCC-00142_99	-0.028946877
A_23_P325676	0.48352718
A_24_P37441	-0.021518707
A_23_P20980	0.57944393
A_23_P109184	-0.25665808
A_23_P123265	0.29829025
A_23_P339687	-0.8531065
A_23_P25030	0.06864071
A_23_P252981	-0.25678062
A_23_P200829	-0.2455492
A_23_P105144	0.049975395
A_33_P3265699	-0.2696457
A_23_P105227	0.3136196
A_24_P918907	-1.7071357
A_33_P3411907	0.4464121
A_19_P00800449	0.84776497
A_33_P3293925	0.407372
A_23_P97700	-0.3538475
A_19_P00803753	-0.23663282
A_19_P00323062	0.4009242
A_23_P19164	0.5645819
A_23_P115955	1.0115395
A_19_P00318154	0.5337877
A_33_P3343812	0.60139847
A_23_P101392	0.35338402
A_24_P303080	-0.92019844
A_33_P3525263	-0.23463488
A_32_P95914	-1.0123048
A_32_P705474	-0.35154724
A_23_P86315	-0.32014275
A_33_P3344521	-0.2421956
A_23_P11070	-0.274539
A_19_P00802601	0.43074417
ERCC-00134_68	-0.21597481
A_33_P3222341	-1.1330833
A_19_P00802615	-0.44728708
A_33_P3216570	0.019271374
A_23_P143190	-0.1243248
A_33_P3331996	-0.3608079
A_23_P107051	0.25280428
A_24_P410587	0.1499834
A_33_P3740427	-0.37180805
A_24_P414712	-0.523962
A_24_P174755	-0.14181328
A_33_P3227284	-0.16753197
A_33_P3269806	-0.17275047
A_23_P502464	0.14353466
A_19_P00326456	-0.3744917
A_23_P23646	0.20025206
A_23_P129856	0.006240845
A_23_P75647	-0.012545109
A_19_P00803910	-0.3016963
A_33_P3304092	-0.37908936
A_33_P3405728	0
A_32_P16258	-0.029004097
A_23_P11507	0
A_33_P3629247	0.22915936
A_23_P123308	-0.26020718
A_23_P76799	-0.6269541
A_33_P3305780	-0.38231993
ERCC-00024_60	-0.24898148
A_24_P333567	0.49389887
A_33_P3232993	-0.14666176
A_19_P00326458	0.6966963
A_33_P3224680	-0.15526009
A_33_P3293913	0
A_33_P3362806	-0.11256075
A_23_P209183	0.14097404
A_33_P3236213	0.793273
A_23_P141770	0.09753227
A_33_P3345225	-0.38094664
A_23_P346093	-0.5409827
A_23_P203920	-0.19621754
A_23_P10182	0
A_32_P111336	-0.3790617
A_33_P3231414	-0.29894018
A_23_P12329	0.05652523
ERCC-00016_169	0
A_23_P382188	0.22962761
A_23_P141802	0.23733091
A_19_P00322761	0.47393942
A_23_P343808	-1.4689713
A_23_P404965	0
A_33_P3377346	0.061143875
A_19_P00810806	0.41802597
A_23_P29330	-0.63826704
A_24_P935103	-0.29218483
A_33_P3456233	-0.04942417
ERCC-00086_228	-0.22714901
A_33_P3286722	-0.36662483
A_19_P00800183	0.018383503
A_23_P152066	-0.37452602
A_24_P213206	0.18631935
A_23_P130961	-0.09497166
A_23_P139388	-0.66234636
A_19_P00810216	0.22883892
A_23_P254181	0.26703358
A_23_P109547	0.045104027
A_33_P3213997	0.5356493
A_33_P3277826	0.89054775
A_23_P346265	-0.5075512
A_23_P46045	-1.2026825
A_33_P3329038	-0.38710976
A_23_P309739	-0.0906806
A_23_P112554	0.7180481
A_19_P00315788	-0.37283373
A_23_P68846	0.6078596
A_33_P3289501	-0.34891176
A_19_P00321990	-0.50135994
A_24_P924261	-0.30299234
A_19_P00325528	0.5003929
A_23_P214144	0.591413
A_33_P3228591	-0.3469
A_23_P89132	-0.27227783
A_23_P121596	-0.24881887
A_33_P3224730	0.21034384
A_23_P114232	-0.107486725
A_33_P3264960	0.3616624
A_33_P3303910	-0.33144808
A_19_P00331796	0.12504148
A_33_P3351264	-0.3630762
A_19_P00320532	0
A_33_P3256334	0.3526001
A_33_P3387300	-0.3718438
A_23_P12128	0.2989111
A_23_P75255	0.40044403
A_23_P99579	0.075717926
A_33_P3291097	-0.17822695
A_23_P1029	-0.025109291
A_23_P120103	0.26120186
A_19_P00803272	0.51791716
A_23_P6561	-0.22918749
A_23_P128166	9.03E-04
A_23_P169470	-0.10871124
A_33_P3243454	-0.26917028
A_23_P5551	0.054471016
A_23_P31921	0.4437766
A_24_P11506	-0.21297646
A_23_P55504	-0.26925278
A_32_P124245	0.14977884
A_33_P3721983	0.026762009
A_23_P80162	-0.40256453
A_19_P00812340	-0.07292843
A_23_P101461	0.45063782
A_23_P104689	0.06393719
A_33_P3304908	-0.29877806
A_19_P00809588	-0.06890917
A_24_P53051	0.1888628
A_23_P20660	-0.1435051
A_19_P00318207	-0.15103388
A_33_P3220698	0.54046154
A_23_P101811	-0.6907773
A_23_P115492	-0.3777771
A_23_P79628	-0.38813114
A_33_P3353073	0.6909194
A_23_P23639	0.1670618
A_23_P114689	0.14682579
A_24_P371758	0.30695438
A_24_P923381	1.471168
A_33_P3324814	-0.003365517
A_33_P3397180	0.4078884
ERCC-00108_60	-0.24550676
A_23_P16908	-0.17356634
A_23_P3302	0
A_23_P145761	0.5955353
A_33_P3420020	-0.39762068
A_19_P00332159	0.676074
A_24_P194962	0.20344925
A_23_P114423	0.5303688
A_23_P58321	0.6887908
A_33_P3416321	0.10303831
A_33_P3230488	0.9847088
A_23_P310911	0.4589014
A_33_P3851346	0.23104191
A_19_P00811559	-0.6390524
ERCC-00085_231	-0.25334644
A_24_P287756	0
A_24_P307653	0.2980566
A_19_P00322898	0.053945065
A_23_P205531	-0.6989455
A_24_P73577	0
(+)E1A_r60_a22	0
A_24_P126682	-0.9172754
A_23_P103110	-0.06372547
A_24_P286898	0.061331272
A_19_P00317562	-0.35085773
A_33_P3212630	0.54749537
A_19_P00327734	-0.3416171
A_23_P102919	-0.2650776
A_23_P155848	0.73534536
A_19_P00806605	-0.3959732
A_19_P00320715	0.38829374
A_32_P87697	0
A_33_P3369029	-0.2770071
A_33_P3379841	-0.6894736
A_23_P17287	0.11875343
A_33_P3264224	-0.3623886
A_33_P3718699	-0.37028122
A_33_P3411372	0.22446203
A_19_P00319177	0.16049957
A_23_P121795	-0.110749245
A_23_P12336	0.49025917
A_19_P00322108	-0.37203217
A_23_P6263	0.17149448
A_23_P115215	0.4488535
A_33_P3352467	-0.2999506
A_23_P210515	0.66013813
A_23_P111804	0.7814522
A_33_P3271121	0.14291
