From	To	Species	Gene Name
A_23_P168357	CPA1	Homo sapiens	carboxypeptidase A1 (pancreatic)
A_24_P7085	RPL29P2	Homo sapiens	ribosomal protein L29 pseudogene 2
A_24_P165864	P2RY14	Homo sapiens	purinergic receptor P2Y, G-protein coupled, 14
A_23_P16096	ppan	Homo sapiens	peter pan homolog (Drosophila)
A_23_P69339	Acaa1	Homo sapiens	acetyl-Coenzyme A acyltransferase 1
A_24_P352952	fam20a	Homo sapiens	family with sequence similarity 20, member A
A_24_P351420	ZDHHC3	Homo sapiens	zinc finger, DHHC-type containing 3
A_23_P110571	MAST4	Homo sapiens	microtubule associated serine/threonine kinase family member 4
A_23_P41750	SPZ1	Homo sapiens	spermatogenic leucine zipper 1
A_23_P133665	FRK	Homo sapiens	fyn-related kinase
A_23_P132139	C21orf58	Homo sapiens	chromosome 21 open reading frame 58
A_23_P167349	gc	Homo sapiens	group-specific component (vitamin D binding protein)
A_23_P27035	Tmem98	Homo sapiens	similar to transmembrane protein 98; transmembrane protein 98
A_23_P27035	LOC440181	Homo sapiens	similar to transmembrane protein 98; transmembrane protein 98
A_23_P342934	TLE3	Homo sapiens	transducin-like enhancer of split 3 (E(sp1) homolog, Drosophila)
A_23_P124427	nek1	Homo sapiens	NIMA (never in mitosis gene a)-related kinase 1
A_23_P366453	khdrbs2	Homo sapiens	KH domain containing, RNA binding, signal transduction associated 2
A_23_P152181	Polr3e	Homo sapiens	polymerase (RNA) III (DNA directed) polypeptide E (80kD)
A_23_P89187	LASP1	Homo sapiens	LIM and SH3 protein 1
A_23_P255503	Pafah1b2	Homo sapiens	platelet-activating factor acetylhydrolase, isoform Ib, subunit 2 (30kDa)
A_23_P380298	Prosapip1	Homo sapiens	ProSAPiP1 protein
A_23_P359457	DNAH2	Homo sapiens	dynein, axonemal, heavy chain 2
A_24_P53976	GLUL	Homo sapiens	glutamate-ammonia ligase (glutamine synthetase)
A_32_P69849	BEX5	Homo sapiens	brain expressed, X-linked 5
A_23_P76901	PLEKHG3	Homo sapiens	pleckstrin homology domain containing, family G (with RhoGef domain) member 3
A_23_P122876	TAF6	Homo sapiens	TAF6 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 80kDa
A_32_P127350	LOC645323	Homo sapiens	hypothetical LOC645323; microRNA 9-2
A_32_P127350	Mir9-2	Homo sapiens	hypothetical LOC645323; microRNA 9-2
A_23_P302094	IMP4	Homo sapiens	IMP4, U3 small nucleolar ribonucleoprotein, homolog (yeast)
A_23_P168368	C7orf69	Homo sapiens	chromosome 7 open reading frame 69
A_23_P144697	RAD1	Homo sapiens	RAD1 homolog (S. pombe)
