Reporter Identifier	VALUE
A_23_P100001	1.048136264
A_23_P100011	0.61384992
A_23_P100022	-0.526175869
A_23_P100056	-2.027043664
A_23_P100074	-0.159670954
A_23_P100092	0.109572232
A_23_P100103	1.117073485
A_23_P100111	0.456878624
A_23_P100127	-1.256391298
A_23_P100133	1.50802041
A_23_P100141	0.786714428
A_23_P100156	1.202583735
A_23_P100177	-0.941118563
A_23_P100189	0.292040442
A_23_P100196	1.132809751
A_23_P100203	-0.442801493
A_23_P100220	-3.576143091
A_23_P100240	-0.616461075
A_23_P10025	1.54511271
A_23_P100263	0.680152451
A_23_P100278	-0.877586243
A_23_P100292	-0.537093751
A_23_P100315	-1.522728245
A_23_P100326	-0.931053734
A_23_P100341	-1.14771395
A_23_P100344	-2.843668217
A_23_P100355	0.829602847
A_23_P100386	0.217801798
A_23_P100392	-0.081245749
A_23_P100408	0.790083099
A_23_P100413	0.411174901
A_23_P100420	-2.381641163
A_23_P100441	0.455604923
A_23_P100455	1.093098974
A_23_P100469	0.185996728
A_23_P100478	0.651729247
A_23_P100486	-2.503582545
A_23_P100499	1.003334928
A_23_P100501	0.614604717
A_23_P100517	0.720816978
A_23_P100522	1.230146195
A_23_P100539	-2.206597349
A_23_P100556	0.639358888
A_23_P100576	-0.066527668
A_23_P100583	0.224408829
A_23_P100595	0.872351257
A_23_P10060	0.353941511
A_23_P100602	-0.369442964
A_23_P10062	0.00804076
A_23_P100632	-2.33847269
A_23_P100642	-2.010370536
A_23_P100654	1.960787903
A_23_P100660	-0.539846685
A_23_P100676	0.376459541
A_23_P100693	0.482440516
A_23_P100704	0.084008359
A_23_P100711	-5.61020579
A_23_P100730	5.234744469
A_23_P100754	0.158705139
A_23_P100764	-0.27585593
A_23_P10077	1.471542816
A_23_P100779	1.551967998
A_23_P100788	-0.194102468
A_23_P100795	1.518124293
A_23_P100802	-0.421441422
A_23_P10081	-1.294783924
A_23_P100868	-2.259268047
A_23_P100872	0.329984104
A_23_P100883	-0.664752276
A_23_P10091	-0.651419998
A_23_P100912	0.768145636
A_23_P100931	0.050314313
A_23_P100959	0.604820969
A_23_P100963	0.086961385
A_23_P100990	0.09325381
A_23_P101007	-1.639073893
A_23_P101013	1.681070135
A_23_P101025	3.082049462
A_23_P101048	0.614086462
A_23_P101054	-4.482287504
A_23_P101073	
A_23_P101084	0.985149931
A_23_P101093	-1.886175705
A_23_P101111	1.242752451
A_23_P101121	-2.551831662
A_23_P101131	-1.093802637
A_23_P101141	4.046849977
A_23_P101185	-0.58769113
A_23_P101193	-2.873994182
A_23_P101208	1.376788622
A_23_P10121	-4.915306717
A_23_P101237	-0.178147134
A_23_P101240	0.008242355
A_23_P101246	-0.291487433
A_23_P101253	0.076659974
A_23_P101258	0.083146914
A_23_P10127	-6.157102561
A_23_P101272	0.70052746
A_23_P101281	0.745623748
A_23_P101297	0.792356141
A_23_P101303	0.757144608
A_23_P101308	1.201776128
A_23_P101319	2.103657488
A_23_P101321	1.991716447
