Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [cell line]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [protocol]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [time]	FactorValue [treatment]	Term Source REF	Term Accession Number
GSM1893360 1	Gene expression of PMA-differentiated vitC-treated-THP-1 cells at 96 h D4_AAII	THP-1_vitC-treated_96h	THP-1_vitC_96h_rep2	THP-1 monocytic cell line	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	differentiated with PMA	P-GSE73421-2	ArrayExpress	P-GSE73421-3	ArrayExpress	P-GSE73421-4	ArrayExpress	GSM1893360 extract 1	total RNA	P-GSE73421-5	ArrayExpress	GSM1893360 LE 1	Cy3	P-GSE73421-6	ArrayExpress	GSM1893360	A-GEOD-13252	ArrayExpress	array assay	P-GSE73421-7	ArrayExpress	GSM1893360_US83000164_252711410008_S01_GE1_105_Dec08_1_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73421/E-GEOD-73421.raw.1.zip	P-GSE73421-1	ArrayExpress	GSM1893360_sample_table.txt norm	GSM1893360_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73421/E-GEOD-73421.processed.1.zip	96 h	vitC	  	        
GSM1893359 1	Gene expression of PMA-differentiated vitC-treated-THP-1 cells at 96 h D4_AAI	THP-1_vitC-treated_96h	THP-1_vitC_96h_rep1	THP-1 monocytic cell line	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	differentiated with PMA	P-GSE73421-2	ArrayExpress	P-GSE73421-3	ArrayExpress	P-GSE73421-4	ArrayExpress	GSM1893359 extract 1	total RNA	P-GSE73421-5	ArrayExpress	GSM1893359 LE 1	Cy3	P-GSE73421-6	ArrayExpress	GSM1893359	A-GEOD-13252	ArrayExpress	array assay	P-GSE73421-7	ArrayExpress	GSM1893359_US83000164_252711410008_S01_GE1_105_Dec08_1_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73421/E-GEOD-73421.raw.1.zip	P-GSE73421-1	ArrayExpress	GSM1893359_sample_table.txt norm	GSM1893359_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73421/E-GEOD-73421.processed.1.zip	96 h	vitC	  	        
GSM1893358 1	Gene expression of PMA-differentiated vitC-treated-THP-1 cells at 48 h AA_D2_3	THP-1_vitC-treated_48h	THP-1_vitC_48h_rep2	THP-1 monocytic cell line	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	differentiated with PMA	P-GSE73421-2	ArrayExpress	P-GSE73421-3	ArrayExpress	P-GSE73421-4	ArrayExpress	GSM1893358 extract 1	total RNA	P-GSE73421-5	ArrayExpress	GSM1893358 LE 1	Cy3	P-GSE73421-6	ArrayExpress	GSM1893358	A-GEOD-13252	ArrayExpress	array assay	P-GSE73421-7	ArrayExpress	GSM1893358_US83000164_252711410031_S01_GE1_105_Dec08_1_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73421/E-GEOD-73421.raw.1.zip	P-GSE73421-1	ArrayExpress	GSM1893358_sample_table.txt norm	GSM1893358_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73421/E-GEOD-73421.processed.1.zip	48 h	vitC	  	        
GSM1893357 1	Gene expression of PMA-differentiated vitC-treated-THP-1 cells at 48 h AA_D2_2	THP-1_vitC-treated_48h	THP-1_vitC_48h_rep1	THP-1 monocytic cell line	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	differentiated with PMA	P-GSE73421-2	ArrayExpress	P-GSE73421-3	ArrayExpress	P-GSE73421-4	ArrayExpress	GSM1893357 extract 1	total RNA	P-GSE73421-5	ArrayExpress	GSM1893357 LE 1	Cy3	P-GSE73421-6	ArrayExpress	GSM1893357	A-GEOD-13252	ArrayExpress	array assay	P-GSE73421-7	ArrayExpress	GSM1893357_US83000164_252711410030_S01_GE1_105_Dec08_2_4.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73421/E-GEOD-73421.raw.1.zip	P-GSE73421-1	ArrayExpress	GSM1893357_sample_table.txt norm	GSM1893357_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73421/E-GEOD-73421.processed.1.zip	48 h	vitC	  	        
GSM1893356 1	Gene expression of PMA-differentiated vitC-treated-THP-1 cells at 24 h AA_24h_2	THP-1_vitC-treated_24h	THP-1_vitC_24h_rep2	THP-1 monocytic cell line	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	differentiated with PMA	P-GSE73421-2	ArrayExpress	P-GSE73421-3	ArrayExpress	P-GSE73421-4	ArrayExpress	GSM1893356 extract 1	total RNA	P-GSE73421-5	ArrayExpress	GSM1893356 LE 1	Cy3	P-GSE73421-6	ArrayExpress	GSM1893356	A-GEOD-13252	ArrayExpress	array assay	P-GSE73421-7	ArrayExpress	GSM1893356_US83000164_252711410030_S01_GE1_105_Dec08_2_3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73421/E-GEOD-73421.raw.1.zip	P-GSE73421-1	ArrayExpress	GSM1893356_sample_table.txt norm	GSM1893356_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73421/E-GEOD-73421.processed.1.zip	24 h	vitC	  	        
GSM1893355 1	Gene expression of PMA-differentiated vitC-treated-THP-1 cells at 24 h AA_24h_1	THP-1_vitC-treated_24h	THP-1_vitC_24h_rep1	THP-1 monocytic cell line	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	differentiated with PMA	P-GSE73421-2	ArrayExpress	P-GSE73421-3	ArrayExpress	P-GSE73421-4	ArrayExpress	GSM1893355 extract 1	total RNA	P-GSE73421-5	ArrayExpress	GSM1893355 LE 1	Cy3	P-GSE73421-6	ArrayExpress	GSM1893355	A-GEOD-13252	ArrayExpress	array assay	P-GSE73421-7	ArrayExpress	GSM1893355_US83000164_252711410030_S01_GE1_105_Dec08_2_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73421/E-GEOD-73421.raw.1.zip	P-GSE73421-1	ArrayExpress	GSM1893355_sample_table.txt norm	GSM1893355_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73421/E-GEOD-73421.processed.1.zip	24 h	vitC	  	        
GSM1893354 1	Gene expression of PMA-differentiated vitC-treated-THP-1 cells at 8 h AA_8h_3	THP-1_vitC-treated_8h	THP-1_vitC_8h_rep3	THP-1 monocytic cell line	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	differentiated with PMA	P-GSE73421-2	ArrayExpress	P-GSE73421-3	ArrayExpress	P-GSE73421-4	ArrayExpress	GSM1893354 extract 1	total RNA	P-GSE73421-5	ArrayExpress	GSM1893354 LE 1	Cy3	P-GSE73421-6	ArrayExpress	GSM1893354	A-GEOD-13252	ArrayExpress	array assay	P-GSE73421-7	ArrayExpress	GSM1893354_US83000164_252711410030_S01_GE1_105_Dec08_2_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73421/E-GEOD-73421.raw.1.zip	P-GSE73421-1	ArrayExpress	GSM1893354_sample_table.txt norm	GSM1893354_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73421/E-GEOD-73421.processed.1.zip	8 h	vitC	  	        
GSM1893353 1	Gene expression of PMA-differentiated vitC-treated-THP-1 cells at 8 h AA_8h_2	THP-1_vitC-treated_8h	THP-1_vitC_8h_rep2	THP-1 monocytic cell line	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	differentiated with PMA	P-GSE73421-2	ArrayExpress	P-GSE73421-3	ArrayExpress	P-GSE73421-4	ArrayExpress	GSM1893353 extract 1	total RNA	P-GSE73421-5	ArrayExpress	GSM1893353 LE 1	Cy3	P-GSE73421-6	ArrayExpress	GSM1893353	A-GEOD-13252	ArrayExpress	array assay	P-GSE73421-7	ArrayExpress	GSM1893353_US83000164_252711410030_S01_GE1_105_Dec08_1_4.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73421/E-GEOD-73421.raw.1.zip	P-GSE73421-1	ArrayExpress	GSM1893353_sample_table.txt norm	GSM1893353_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73421/E-GEOD-73421.processed.1.zip	8 h	vitC	  	        
GSM1893352 1	Gene expression of PMA-differentiated vitC-treated-THP-1 cells at 8 h AA_8h_1	THP-1_vitC-treated_8h	THP-1_vitC_8h_rep1	THP-1 monocytic cell line	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	differentiated with PMA	P-GSE73421-2	ArrayExpress	P-GSE73421-3	ArrayExpress	P-GSE73421-4	ArrayExpress	GSM1893352 extract 1	total RNA	P-GSE73421-5	ArrayExpress	GSM1893352 LE 1	Cy3	P-GSE73421-6	ArrayExpress	GSM1893352	A-GEOD-13252	ArrayExpress	array assay	P-GSE73421-7	ArrayExpress	GSM1893352_US83000164_252711410030_S01_GE1_105_Dec08_1_3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73421/E-GEOD-73421.raw.1.zip	P-GSE73421-1	ArrayExpress	GSM1893352_sample_table.txt norm	GSM1893352_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73421/E-GEOD-73421.processed.1.zip	8 h	vitC	  	        
GSM1893351 1	Gene expression of PMA-differentiated untreated-THP-1 cells at 96 h UT_D4_3	THP-1_Untreated_96h	THP-1_UT_96h_rep3	THP-1 monocytic cell line	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	differentiated with PMA	P-GSE73421-2	ArrayExpress	P-GSE73421-3	ArrayExpress	P-GSE73421-4	ArrayExpress	GSM1893351 extract 1	total RNA	P-GSE73421-5	ArrayExpress	GSM1893351 LE 1	Cy3	P-GSE73421-6	ArrayExpress	GSM1893351	A-GEOD-13252	ArrayExpress	array assay	P-GSE73421-7	ArrayExpress	GSM1893351_US83000164_252711410030_S01_GE1_105_Dec08_1_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73421/E-GEOD-73421.raw.1.zip	P-GSE73421-1	ArrayExpress	GSM1893351_sample_table.txt norm	GSM1893351_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73421/E-GEOD-73421.processed.1.zip	96 h	control	EFO	EFO_0001461
