Reporter Identifier	VALUE
GT_44k_23_P100001	-1.7968493
GT_44k_23_P100011	-4.1303062
GT_44k_23_P100022	-0.5335541
GT_44k_23_P100056	-4.1702538
GT_44k_23_P100074	1.0742826
GT_44k_23_P100092	-0.84714603
GT_44k_23_P100103	-1.5826082
GT_44k_23_P100111	-3.6578817
GT_44k_23_P100127	1.3248997
GT_44k_23_P100133	-2.9229546
GT_44k_23_P100141	-1.2083826
GT_44k_23_P100156	-1.7136497
GT_44k_23_P100177	-5.440547
GT_44k_23_P100189	-4.475361
GT_44k_23_P100196	1.5764456
GT_44k_23_P100203	0.8004942
GT_44k_23_P100220	-3.1840339
GT_44k_23_P100240	-5.9213424
GT_44k_23_P10025	-4.1881247
GT_44k_23_P100263	2.7035065
GT_44k_23_P100278	-5.8027234
GT_44k_23_P100292	4.928708
GT_44k_23_P100315	1.1672001
GT_44k_23_P100326	2.422103
GT_44k_23_P100341	4.5262604
GT_44k_23_P100344	0.7085552
GT_44k_23_P100355	1.1351509
GT_44k_23_P100386	-5.6523905
GT_44k_23_P100392	0.4491539
GT_44k_23_P100408	-3.8267584
GT_44k_23_P100413	-1.8967905
GT_44k_23_P100420	1.7323084
GT_44k_23_P100441	1.4767742
GT_44k_23_P100455	-1.8495879
GT_44k_23_P100469	-2.0623245
GT_44k_23_P100478	0.113925934
GT_44k_23_P100486	3.1462164
GT_44k_23_P100499	-1.2969589
GT_44k_23_P100501	1.818367
GT_44k_23_P100517	0.5526457
GT_44k_23_P100522	3.9432154
GT_44k_23_P100539	0.905324
GT_44k_23_P100556	-0.49495125
GT_44k_23_P100576	3.3057547
GT_44k_23_P100583	-4.1311345
GT_44k_23_P100595	-6.930418
GT_44k_23_P100602	-0.4207716
GT_44k_23_P10062	-6.897978
GT_44k_23_P100632	5.889557
GT_44k_23_P100642	-5.988722
GT_44k_23_P100654	1.3820181
GT_44k_23_P100660	2.8625202
GT_44k_23_P100676	-3.320714
GT_44k_23_P100693	0.13422108
GT_44k_23_P100704	-0.12452221
GT_44k_23_P100711	0.16031075
GT_44k_23_P100730	-5.710904
GT_44k_23_P100754	-2.3755999
GT_44k_23_P100764	1.761219
GT_44k_23_P10077	-1.0640297
GT_44k_23_P100779	-1.1142311
GT_44k_23_P100788	-2.9871416
GT_44k_23_P100795	-3.126359
GT_44k_23_P100802	3.605854
GT_44k_23_P10081	-2.4322996
GT_44k_23_P100868	1.3098564
GT_44k_23_P100872	-5.3152976
GT_44k_23_P100883	3.983117
GT_44k_23_P100912	-2.6289825
GT_44k_23_P100931	-8.346614
GT_44k_23_P100935	-8.314278
GT_44k_23_P100959	-6.3338223
GT_44k_23_P100963	-1.521266
GT_44k_23_P100990	-5.466204
GT_44k_23_P100991	-7.8106394
GT_44k_23_P101007	-2.7564898
GT_44k_23_P101013	1.7637253
GT_44k_23_P101025	2.0180197
GT_44k_23_P101038	-8.319599
GT_44k_23_P101048	-6.924703
GT_44k_23_P101054	-6.994151
GT_44k_23_P101073	-5.1351094
GT_44k_23_P101084	-7.250772
GT_44k_23_P101093	-0.28364372
GT_44k_23_P101111	0.5048685
GT_44k_23_P101121	0.45207024
GT_44k_23_P101131	-5.661931
GT_44k_23_P101141	-3.374905
GT_44k_23_P101185	3.9572906
GT_44k_23_P101193	-5.7064104
GT_44k_23_P101208	3.6195126
GT_44k_23_P10121	-2.3348513
GT_44k_23_P101237	1.8946848
GT_44k_23_P101240	2.245675
GT_44k_23_P101246	-1.5915661
GT_44k_23_P101253	-1.432333
GT_44k_23_P101258	-2.769618
GT_44k_23_P10127	-1.501627
GT_44k_23_P101272	0.6580181
GT_44k_23_P101281	0.87610626
GT_44k_23_P101297	-0.8683176
GT_44k_23_P101303	1.3793879
GT_44k_23_P101308	-1.1690798
GT_44k_23_P101319	-3.946444
GT_44k_23_P101321	-1.2945557
GT_44k_23_P101332	2.0373783
GT_44k_23_P101342	-1.7850637
GT_44k_23_P10135	1.0990534
GT_44k_23_P101351	-1.9550133
GT_44k_23_P101374	-1.5713367
GT_44k_23_P101380	-0.41584206
GT_44k_23_P101392	-3.9112458
GT_44k_23_P1014	2.7533693
GT_44k_23_P101407	5.0729246
GT_44k_23_P101427	-2.605044
GT_44k_23_P101434	-1.0683832
GT_44k_23_P101461	3.7298384
GT_44k_23_P101476	-3.6147099
GT_44k_23_P101480	-2.7464561
GT_44k_23_P101505	-8.211647
GT_44k_23_P101516	-2.1481814
GT_44k_23_P101521	-5.3572874
GT_44k_23_P101532	7.6349983
GT_44k_23_P101551	0.7698574
GT_44k_23_P10156	-1.1018629
GT_44k_23_P101564	-7.899205
GT_44k_23_P101573	-6.1522665
GT_44k_23_P101615	-1.132122
GT_44k_23_P101623	-6.266667
GT_44k_23_P101636	-7.0414944
GT_44k_23_P101642	-2.636526
GT_44k_23_P101655	0.9310093
GT_44k_23_P101671	-6.4541044
GT_44k_23_P101683	-8.223823
GT_44k_23_P101699	-0.9154711
GT_44k_23_P101707	1.5689449
GT_44k_23_P10172	-8.329505
GT_44k_23_P101737	-0.95468426
GT_44k_23_P101742	2.1816368
GT_44k_23_P101759	-3.5289798
GT_44k_23_P101761	0.7505684
GT_44k_23_P101774	-5.0977564
GT_44k_23_P101783	-3.9069524
GT_44k_23_P101796	-3.6232877
GT_44k_23_P101806	-5.350303
GT_44k_23_P101811	-1.0647659
GT_44k_23_P10182	-0.8765106
GT_44k_23_P101829	-0.5270405
GT_44k_23_P101871	-7.1799507
GT_44k_23_P101893	-2.18512
GT_44k_23_P101905	-2.9005294
GT_44k_23_P101908	-2.9259992
GT_44k_23_P10194	2.5976696
GT_44k_23_P101943	2.089179
GT_44k_23_P101950	6.94191
GT_44k_23_P101960	3.3526173
GT_44k_23_P101972	-4.383927
GT_44k_23_P101992	2.786971
GT_44k_23_P102000	4.210717
GT_44k_23_P102017	-4.9885025
GT_44k_23_P102037	-1.1767073
GT_44k_23_P102058	-8.380684
GT_44k_23_P10206	-8.362752
GT_44k_23_P102060	2.3935337
GT_44k_23_P102071	1.7347794
GT_44k_23_P102083	-8.303649
GT_44k_23_P102109	1.9317179
GT_44k_23_P10211	0.3501234
GT_44k_23_P102113	-2.7650976
GT_44k_23_P102117	-6.1713796
GT_44k_23_P102122	7.6775
GT_44k_23_P102160	-0.35425758
GT_44k_23_P102172	-4.499452
GT_44k_23_P102183	1.8978958
GT_44k_23_P102192	-0.5062151
GT_44k_23_P102202	4.387411
GT_44k_23_P102235	4.5523214
GT_44k_23_P102242	0.71401215
GT_44k_23_P102258	4.2070217
GT_44k_23_P102262	3.7014427
GT_44k_23_P102278	-8.364505
GT_44k_23_P102286	-8.12293
GT_44k_23_P10232	-1.696146
GT_44k_23_P102320	2.5214558
GT_44k_23_P102331	-8.368886
GT_44k_23_P102351	-2.7665253
GT_44k_23_P102364	-1.6258955
